Track number,Artist,Title,Plays
1,Eric Prydz,Opus,4.59M
2,Fox Stevenson,Glue Gun,247K
3,,Deadmau5 - Ghosts 'N' Stuff (Feat. Rob Swire),3.59M
4,Code Black,"""You've Got the Love""",1.29M
5,Darren Styles,Porter Robinson - Sad Machine (Darren Styles & Gammer Remix) [NEST HQ Premiere],1.37M
6,REAPER,REAPER - MAKE A MOVE,218K
7,Upgrade,Upgrade - Popular,215K
8,Polygon,Polygon - Contradiction,93.8K
9,,LSB - Potshot (Full),95.3K
10,Fox Stevenson,Fox Stevenson - Take You Down,325K
11,Fox Stevenson,Knowhow,484K
12,Fox Stevenson,Fox Stevenson - Bruises,1.17M
13,Lewis Grant,Big Break (Prod. Dylan Brady),12.3K
14,LukeBond,Virtual Self - Particle Arts (Luke Bond Remix),36K
15,Delta Heavy,Kaleidoscope,366K
16,Darren Styles,Darren Styles - Us Against The World,2.34M
17,Pierce Fulton,Pierce Fulton - Kuaga (Original Mix),1.65M
18,Maduk,Flux Pavilion - Pull The Trigger (Maduk Remix),308K
19,Stonebank,Stonebank - Stronger (feat. EMEL),2.93M
20,Deorro,Five Hours,876K
21,Eiffel 65,"Eiffel 65 - ""Blue (Da Ba Dee)""",8.45M
22,Darude,Sandstorm (Radio Edit),1.35M
23,Cascada,Everytime We Touch (Radio Edit),143K
24,Cascada,Miracle,93.2K
25,,10 Alice Deejay - Better Off Alone,7.5M
26,Avicii,Levels (Original Version),1.13M
27,Ellie Goulding,Lights (Bassnectar Remix - Bonus Track),365K
28,Spearhead Records,BCee - Come And Join Us - Spearhead Records,19.8K
29,Dualistic,Jus Jack & Speed Limits - All Falls Down (Dualistic Remix) OUT NOW!,69.2K
30,Edlan,Edlan - Dreamcatcher (Ft. Ella),78K
31,Adam K,Kaskade - 4am (Adam K & Soha Remix),2.2M
32,,Mura Masa - Lovesick (Wateva - Remix),50K
33,deadmau5,deadmau5 - Strobe (Dimension Remix),774K
34,Flume,On Top feat. T.Shirt,14.2M
35,Adele,Skyfall,1.04M
36,,Steve Jablonsky - Transformers - The Score - 03 - The All Spark,36.6K
37,,Hans Zimmer - Requiem for a dream,1.07M
38,DeccaRecords,ERA - Ameno,4.06M
39,,Halo Theme Song Original,584K
40,,John Murphy - The Surface Of The Sun (Sunshine),77.7K
41,,Initial D Forever Young - Symbol,1.33M
42,,Initial D Special Stage OST - Killing My Love,1.93M
43,Safri Duo,Played-A-Live (The Bongo Song),208K
44,Muse,Knights of Cydonia,3.36M
45,AC/DC,Thunderstruck,2.49M
46,Metallica,Enter Sandman,5.3M
47,Iron Maiden,Run to the Hills (1998 Remaster),443K
48,The Rolling Stones,"Paint It, Black",1.75M
49,Martin Robbins,Big Iron,1.87M
50,Rise Against,Savior,1.68M
51,The Black Eyed Peas,Pump It,1.28M
52,The Black Eyed Peas,Boom Boom Pow (The Best Of The E.N.D. Version),561K
53,"21 Savage, Metro Boomin",Brand New Draco,6.28M
54,"21 Savage, Metro Boomin",Glock In My Lap,40.7M
55,"21 Savage, Metro Boomin",Slidin,8.23M
56,Coolio,Gangsta's Paradise,28.5M
57,Eddie Murphy,Party All the Time,273K
58,Kavinsky,Nightcall,
59,New Order,Blue Monday,
60,199X,Gillette(feat. DrDisrespect),2.34M
61,Crystal Castles,Crimewave,8.75M
62,Big Wild,Big Wild - Empty Room (feat. Yuna),1.46M
63,League of Legends,Piercing Light (Mako Remix),4.73M
64,League of Legends,Legends Never Die (ft. Against The Current) | Worlds 2017 - League of Legends,24.6M
65,Nilvan Rodrigues 1,The Prodigy - Omen (Mt. Eden Remix),176K
66,Maduk,Maduk - Pokemon Remix (Free Download),323K
67,Madonna,Hung Up,4.07M
68,Katy Perry,Firework,1.58M
69,Gotye,Somebody That I Used To Know (feat. Kimbra),19.4M
70,Milky Chance,Stolen Dance,4.44M
71,Ween,Ocean Man,5.79M
72,Creedence Clearwater Revival,Have You Ever Seen The Rain (Mono Single),320K
73,The Killers,The Killers-Enterlude and Exitlude,190K
74,Saint Punk,Saint Punk - Empty Bed,730K
75,deko 🌙,PHANTASY STAR ONLINE✧･ﾟ: *✧･ﾟ:* ft YAMEII,2.88M
76,,Paul Engemann - Push It To The Limit (Scarface),3.76M
77,Ennio Morricone featuring Edda Dell'Orso,The Ecstasy of Gold (feat. Edda Dell'Orso),342K
78,The Doors,Riders on the Storm,1.16M
79,Creedence Clearwater Revival,Fortunate Son,2.31M
80,Spiderbait,Black Betty (Single Edit),251K
81,Justice,Stress,242K
82,Yeah Yeah Yeahs,Heads Will Roll (A-Trak Remix),3.75M
83,Diplo,M I A - Paper Planes,36.2M
84,Teriyaki Boyz,"Tokyo Drift (Fast & Furious) (From ""The Fast And The Furious: Tokyo Drift"" Soundtrack)",1.17M
85,Daft Punk,Around the World,1.46M
86,Daft Punk,One More Time,2.55M
87,Manuel,Gas Gas Gas - Manuel,155K
88,Micycle,Max Coveri - Running In The 90's (From 'Initial D')[FLAC Download],318K
89,Dave Rodgers,Déjà Vu - Dave Rodgers,27.5K
90,Foo Fighters,Everlong,28M
91,Red Hot Chili Peppers,Can't Stop,6.14M
92,The Offspring,"You're Gonna Go Far, Kid",1.37M
93,Metallica,Master Of Puppets (From the Motion Picture Metallica Through the Never),11.5M
94,Blue Oyster Cult,(Don't Fear) The Reaper,4M
95,The Animals,House Of The Rising Sun,1.19M
96,Franz Ferdinand,Take Me Out (Daft Punk Remix),1.69M
97,CBSIMG,Lykke Li - I Follow Rivers (The Magician Remix),2.3M
98,Linkin Park,Breaking the Habit,769K
99,,Cher - Believe - Official - Music - Video,239K
100,Evanescence,Bring Me To Life,7.61M
101,"Gorillaz, De La Soul",Feel Good Inc.,2.16M
102,Roddy Ricch,The Box,175M
103,Travis Scott feat. Kacy Hill,90210 (feat. Kacy Hill),2.65M
104,Tiësto,In My Mind (Axwell Mix) - Ivan Gough & Feenixpawl ft. Georgi Kay,18.8M
105,Flume,The Difference (feat. Toro y Moi),4.09M
106,Porter Robinson,Virtual Self - Ghost Voices,4.82M
107,Kanye West,All Of The Lights,14.3M
108,Nightcrawlers,Push The Feeling On (Mk Dub Revisited Edit),4.96M
109,Denzel Curry,Ultimate,38.8M
110,John Denver,"Take Me Home, Country Roads (Original Version)",731K
111,The Black Eyed Peas,I Gotta Feeling (The Best Of The E.N.D. Version),953K
112,Scatman John,Scatman (ski-ba-bop-ba-dop-bop),1.73M
113,Kid Cudi,Pursuit Of Happiness (Nightmare) [feat. MGMT & Ratatat],9.81M
114,The xx,Intro,1.03M
115,Manu Chao,Bongo Bong,1.45M
116,Coldplay,Viva La Vida,5.56M
117,Nelly Furtado,Promiscuous (feat. Timbaland),9.3M
118,Crystal Castles,Vanished,9.68M
119,Phoenix,Lisztomania,864K
120,Phoenix,1901,1.68M
121,Outkast,Ms. Jackson,5.89M
122,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (Radio Edit - feat. Pharrell Williams and Nile Rodgers),518K
123,Ellie Goulding,Lights (Single Version),7.88M
124,La Bouche,Be My Lover,266K
125,JAY-Z,Empire State Of Mind (feat. Alicia Keys),2.76M
126,Red Hot Chili Peppers,Californication,11.6M
127,Thirty Seconds To Mars,The Kill,1.31M
128,The Black Eyed Peas,Meet Me Halfway,14M
129,Corona,The Rhythm of the Night,282K
130,"Earth, Wind & Fire",September,317K
131,The Black Eyed Peas,Just Can’t Get Enough,2.15M
132,David Guetta,Titanium (feat. Sia),4.84M
133,ShibayanRecords,ShibayanRecords - Tiny Little Adiantum (deadman 死人 Remix) [Omae Wa Mou],4.05M
134,"Daft Punk, Pharrell Williams",Lose Yourself to Dance (feat. Pharrell Williams),424K
135,The Black Eyed Peas,Where Is The Love?,11M
136,Leona Lewis,Bleeding Love (Radio Edit),321K
137,Playboi Carti,Magnolia,129M
138,Outkast,Hey Ya!,1.32M
139,Hellberg,Hellberg - The Girl (feat. Cozi Zuehlsdorff),5.05M
140,"Far East Movement, The Cataracs, DEV",Like A G6,2.94M
141,100 gecs,xXXi_wud_nvrstøp_ÜXXx (Remix) (feat. Tommy Cash & Hannah Diamond),453K
142,The Black Eyed Peas,Let's Get It Started (Spike Mix),536K
143,Maki Ligon,009 Sound System Dreamscape (Eurobeat Remix),112K
144,Camo & Krooked,Climax,29.7K
145,Empire Of The Sun,Walking On A Dream,3.59M
146,Heather,Initial D Night Of Fire,2.6M
147,Bag Raiders,Shooting Stars,5.81M
148,Stonebank,Stonebank - Ripped To Pieces (Feat. EMEL),241K
149,Tchami,Adieu,3.63M
150,Flume,Disclosure - You & Me (Flume Remix),77.3M
151,Atlantic Records,Estelle - American Boy [Feat. Kanye West] Album Version),24.4M
152,Madonna,Sorry,13.1K
153,Stonebank,Stonebank - Be Alright (feat. EMEL),984K
154,"OneRepublic, Alesso",If I Lose Myself (Alesso vs OneRepublic),
155,,DotA - Basshunter,3.94M
156,Unkle Adams,I Am Stronger,123K
157,Stromae,Alors on danse (Radio Edit),2.08M
158,21 Savage,a lot,88.7M
159,Adele,Hello,1.49M
160,Owl City,Fireflies,25.3M
161,100 gecs,money machine,7.26M
162,"Stardust, Benjamin Diamond, Alan Braxe",Music Sounds Better With You,6.26M
163,,Tune Up! - Ravers Fantasy,250K
164,Maduk and Veela,Ghost Assassin (Original Mix),38.8K
165,21 Savage,Bank Account,12.1M
166,Project 46,Project 46 feat. Matthew Steeper - No One [Monstercat],435K
167,Polygon,Polygon - One Day,73.9K
168,Deko,Crystal🔮,189K
169,Survivor,Eye of the Tiger,263K
170,Fox Stevenson,Go Like (D&B Remix),997K
171,"Hybrid Minds, Charlotte Haining",Paint By Numbers,25.9K
172,Edgar Aquinde Navarrete,06. Mr. Groove - Night & Day,"4,816"
173,Jacob Tillberg,Jacob Tillberg - Caffeine Rush,775K
174,Unlike Pluto,Unlike Pluto - Everything Black (feat. Mike Taylor),18.7M
175,Maduk,Maduk - Everytime (ft. Calixte),65.1K
176,Muzzy,Muzzy - Feeling Stronger (feat. Charlotte Colley) (High Maintenance Remix),1.16M
177,,Monrroe Ft. Zara Kershaw - Out Of Time,1.47M
178,Maduk,Maduk - Fire Away,50.5K
179,Murdock,Murdock - Waterfalls,15.5K
180,,N'to - La Clé Des Champs,1.04M
